lender,loan_count,exposure,defaults,chargeoff_amount,exposure_share,count_share,chargeoff_rate_count,chargeoff_rate_dollar
Wells Fargo Bank National Association,73526,20618173166.01,7746,1311348103.58,0.0716,0.0676,0.1054,0.0636
The Huntington National Bank,44589,9676403785.0,3215,492120325.94,0.0336,0.041,0.0721,0.0509
"JPMorgan Chase Bank, National Association",68436,8808415985.0,11071,790242995.23,0.0306,0.063,0.1618,0.0897
Live Oak Banking Company,6940,8501971600.0,182,120819940.57000001,0.0295,0.0064,0.0262,0.0142
"U.S. Bank, National Association",46157,7944912151.0,5366,535399333.9,0.0276,0.0425,0.1163,0.0674
"PNC Bank, National Association",40587,7103469581.0,5042,616746108.31,0.0247,0.0373,0.1242,0.0868
"Readycap Lending, LLC",12144,6960088594.0,2357,1219204664.61,0.0242,0.0112,0.1941,0.1752
Bank of Hope,33321,6720022398.0,9706,563531268.67,0.0233,0.0307,0.2913,0.0839
Fifth Third Bank,13815,5380760198.0,1665,686741995.17,0.0187,0.0127,0.1205,0.1276
Columbia Bank,14911,5349667027.0,1508,258848841.19,0.0186,0.0137,0.1011,0.0484
