state,loan_count,exposure,defaults,chargeoff_amount,exposure_share,count_share,chargeoff_rate_count,chargeoff_rate_dollar
CA,143659,48962808014.0,20194,2681587554.47,0.1701,0.1322,0.1406,0.0548
TX,83474,28279734890.0,10496,1982322986.29,0.0983,0.0768,0.1257,0.0701
FL,55337,16626994367.0,10783,1669903931.34,0.0578,0.0509,0.1949,0.1004
GA,28610,12960268194.0,4526,840439628.78,0.045,0.0263,0.1582,0.0648
NY,72356,12637889879.0,10501,1009446683.71,0.0439,0.0666,0.1451,0.0799
OH,48834,9582308907.0,4759,647956044.74,0.0333,0.0449,0.0975,0.0676
IL,35746,9064278507.0,5528,827457153.52,0.0315,0.0329,0.1546,0.0913
NJ,32659,8868058880.01,4930,663450526.89,0.0308,0.03,0.151,0.0748
PA,42916,8734171653.74,4316,618196559.07,0.0303,0.0395,0.1006,0.0708
WA,27783,8703758516.0,2578,385101213.18,0.0302,0.0256,0.0928,0.0442
