originating_lender,loan_count,exposure,defaults,nonperforming,chargeoff_amount,exposure_share,chargeoff_rate_count,chargeoff_rate_dollar,nonperforming_rate
Independence Bank,1804,323160483.0,836,845,104885092.34,0.0011,0.4634,0.3246,0.4684
Popular Bank,7640,1756224880.0,2626,2710,522031522.36,0.0061,0.3437,0.2972,0.3547
"Capital One, National Association",20566,1404227778.0,6304,6320,327233243.23,0.0049,0.3065,0.233,0.3073
"Business Loan Center, LLC",6180,2520440866.0,1813,1813,451270609.83,0.0088,0.2934,0.179,0.2934
Bank of Hope,33321,6720022398.0,9706,9756,563531268.67,0.0233,0.2913,0.0839,0.2928
HSBC Bank USA National Association,4250,395184608.0,1236,1239,98513981.28,0.0014,0.2908,0.2493,0.2915
"VelocitySBA, LLC",11950,197920600.0,2955,2958,39374890.22,0.0007,0.2473,0.1989,0.2475
"Bank of America, National Association",72260,4046705815.0,16371,16383,805329274.29,0.0141,0.2266,0.199,0.2267
BayFirst National Bank,3894,1004041500.0,791,1152,145832748.35999998,0.0035,0.2031,0.1452,0.2958
"Business Lenders, LLC",904,401258380.0,178,178,84602415.83,0.0014,0.1969,0.2108,0.1969
"Readycap Lending, LLC",12144,6960088594.0,2357,2469,1219204664.61,0.0242,0.1941,0.1752,0.2033
CDC Small Business Finance Corp.,792,114319230.0,143,182,17253647.32,0.0004,0.1806,0.1509,0.2298
Mountain America FCU,3902,337125345.0,692,695,25771314.68,0.0012,0.1773,0.0764,0.1781
Celtic Bank Corporation,7807,2992280550.0,1364,1629,208509148.44,0.0104,0.1747,0.0697,0.2087
United Midwest Savings Bank National Association,1918,815494272.0,332,416,68122442.97,0.0028,0.1731,0.0835,0.2169
