industry,gross_exposure,loan_count,charged_off_count,charged_off_amount,exposure_share,impairment_rate_dollar
Accommodation & Food Services,51016972299.83,133403,16373,3659653996.78,0.1773,0.0717
Retail Trade,44184740541.17,174624,24874,3639054190.11,0.1535,0.0824
Manufacturing,30300253207.75,87762,9328,1945051096.69,0.1053,0.0642
Health Care & Social Assistance,29594155572.16,87527,5924,1248399093.22,0.1028,0.0422
Other Services (except Public Admin),24273710552.32,104527,12883,1791361150.36,0.0843,0.0738
"Professional, Scientific & Technical Services",20386618738.0,104993,11936,1209749825.69,0.0708,0.0593
Wholesale Trade,18560484004.66,60185,8907,1192667285.04,0.0645,0.0643
Construction,17071750630.0,104884,14342,1570477519.57,0.0593,0.092
"Arts, Entertainment & Recreation",8271858273.0,26375,3307,636002732.76,0.0287,0.0769
Administrative & Waste Management Services,8128157580.76,53337,6916,653892996.36,0.0282,0.0804
Transportation & Warehousing,7314109785.0,46449,6271,532472463.64,0.0254,0.0728
Real Estate & Rental & Leasing,7250414765.0,23104,3464,360289756.52,0.0252,0.0497
"Agriculture, Forestry, Fishing & Hunting",5974953088.0,12271,742,247307660.42,0.0208,0.0414
Finance & Insurance,4041192103.0,17513,2299,191123392.21,0.014,0.0473
Unknown / Unclassified,3878162785.0,16922,819,415455170.78,0.0135,0.1071
Educational Services,3062940052.0,13409,1586,184436575.34,0.0106,0.0602
Information,3029825056.0,15692,2351,230736224.91,0.0105,0.0762
"Mining, Quarrying, Oil & Gas Extraction",1016327530.0,2494,187,55236967.74,0.0035,0.0543
Management of Companies & Enterprises,212727550.0,469,29,3122335.4499999997,0.0007,0.0147
Utilities,211389371.0,895,91,10234122.26,0.0007,0.0484
Public Administration,28267100.0,184,33,1576490.46,0.0001,0.0558
