id,metric,basis,value,amber,red,direction,rag,within_tolerance_band,utilisation_vs_red,owner,breach_action,review_cycle
industry_hhi,Industry concentration (HHI),hhi_industry,0.1004,0.1,0.18,upper,AMBER,True,0.558,Head of Credit Risk,Freeze new exposure growth in the top sector; table a diversification plan at the next Credit Committee.,Quarterly
top_industry_share,Top single-industry exposure share,top_industry_share,0.1773,0.2,0.3,upper,GREEN,False,0.591,Head of Credit Risk,Review sector sub-limits; require Committee sign-off on further originations in the top sector.,Quarterly
single_lender_share,Largest originating-lender (channel) exposure share,top1_lender_share,0.0716,0.1,0.15,upper,GREEN,False,0.477,Head of Counterparty Risk,Re-underwrite the lender relationship; cap incremental volume and reassess guaranty reliance.,Quarterly
top20_lender_share,Top-20 originating-lender (channel) exposure share,top20_lender_share,0.4223,0.45,0.6,upper,GREEN,False,0.704,Head of Counterparty Risk,Broaden the originating-lender panel; set per-lender concentration sub-limits.,Quarterly
single_borrower_share,Largest single-borrower / brand-cluster exposure share,top1_borrower_share,0.0004,0.02,0.05,upper,GREEN,False,0.008,Head of Credit Risk,Review the single-name exposure against the large-exposure (APS 221) framework; assess correlated brand-cluster risk.,Quarterly
top20_borrower_share,Top-20 borrower / brand-cluster exposure share,top20_borrower_share,0.0036,0.05,0.1,upper,GREEN,False,0.036,Head of Credit Risk,Assess correlated risk across the top brand clusters; consider per-brand sub-limits.,Quarterly
top_state_share,Top single-state exposure share,top_state_share,0.1701,0.2,0.3,upper,GREEN,False,0.567,Head of Credit Risk,Review state sub-limits; assess regional macro exposure and require Committee sign-off on further originations in the top state.,Quarterly
revolving_product_share,Revolving working-capital line exposure share,revolving_product_share,0.0788,0.2,0.3,upper,GREEN,False,0.263,Head of Credit Risk,Tighten revolving-line origination and pricing; review undrawn-limit (CCF) exposure.,Quarterly
small_ticket_share,Small-ticket (<=$50k) exposure share,small_ticket_share,0.0436,0.15,0.25,upper,GREEN,False,0.174,Head of Credit Risk,Review small-ticket origination standards and risk-based pricing (highest-EL band).,Quarterly
origination_growth,Latest-cohort origination exposure growth (YoY),origination_growth_yoy,-0.0989,0.15,0.25,upper,GREEN,False,-0.396,Head of Credit Risk,Confirm growth is not loosening standards; review the latest cohort's origination mix and early-MOB performance.,Quarterly
el_rate,Through-the-cycle expected-loss rate ($),el_rate,0.0492,0.05,0.07,upper,GREEN,False,0.703,Chief Credit Officer,Reprice for risk and reassess provision adequacy; escalate to the Board Risk Committee.,Quarterly
nonperforming_rate,"Non-performing ratio (NPL proxy, count)",nonperforming_rate,0.1311,0.13,0.17,upper,AMBER,False,0.771,Chief Credit Officer,Investigate the problem-exposure pipeline by segment; confirm provisioning keeps pace with NPL movement.,Quarterly
portfolio_chargeoff_rate,"Portfolio charge-off rate (seasoned, count)",portfolio_chargeoff_rate,0.1346,0.12,0.16,upper,AMBER,False,0.841,Chief Credit Officer,Tighten origination credit policy and pricing; escalate to the Board Risk Committee.,Quarterly
vintage_deterioration,Young-cohort early-MOB charge-off vs predecessors,vintage_early_mob_multiple,0.6,1.25,1.5,upper,GREEN,False,0.4,Head of Credit Risk,Investigate the deteriorating cohort's origination standards; pause comparable new lending pending review.,Quarterly
