vintage,loans_originated,exposure,top_sector,top_sector_share,large_ticket_share,exposure_yoy_growth
2000,37600,8999368959.0,Unknown / Unclassified,0.4289,0.1561,
2001,37323,8550459826.48,Retail Trade,0.1905,0.1969,-0.0499
2002,45184,10567876861.9,Retail Trade,0.1868,0.2535,0.2359
2003,59119,9689071159.0,Retail Trade,0.1868,0.1918,-0.0832
2004,71283,11770580676.0,Retail Trade,0.1991,0.2104,0.2148
2005,84436,13208150176.01,Retail Trade,0.2026,0.2517,0.1221
2006,86570,12751558736.0,Retail Trade,0.1961,0.2668,-0.0346
2007,88270,12578498065.33,Retail Trade,0.1993,0.2625,-0.0136
2008,61636,11102683803.27,Accommodation & Food Services,0.1804,0.3097,-0.1173
2009,36636,8138347278.66,Accommodation & Food Services,0.1534,0.3252,-0.267
2010,39913,10185348000.0,Retail Trade,0.1617,0.3585,0.2515
2011,45628,16247328300.0,Accommodation & Food Services,0.164,0.4957,0.5952
2012,38889,13256492000.0,Accommodation & Food Services,0.1653,0.4958,-0.1841
2013,40416,15492120600.0,Accommodation & Food Services,0.1895,0.524,0.1686
2014,45962,16871102500.0,Accommodation & Food Services,0.1862,0.5425,0.089
2015,55421,20370589100.0,Accommodation & Food Services,0.1807,0.5513,0.2074
2016,56789,21621109443.0,Accommodation & Food Services,0.1874,0.5645,0.0614
2017,56079,23048544700.0,Accommodation & Food Services,0.1991,0.5787,0.066
2018,54195,22807991900.0,Accommodation & Food Services,0.2051,0.5858,-0.0104
2019,45670,20551788500.0,Accommodation & Food Services,0.199,0.5861,-0.0989
