vintage,early_mob_chargeoff,prior_vintage_rate,vintage_over_vintage_ratio,reference_mob
2000,0.0003,,,24
2001,0.0003,0.0003,1.0,24
2002,0.0018,0.0003,6.0,24
2003,0.0059,0.0018,3.28,24
2004,0.009,0.0059,1.53,24
2005,0.0115,0.009,1.28,24
2006,0.0235,0.0115,2.04,24
2007,0.0425,0.0235,1.81,24
2008,0.0382,0.0425,0.9,24
2009,0.0157,0.0382,0.41,24
2010,0.01,0.0157,0.64,24
2011,0.0053,0.01,0.53,24
2012,0.004,0.0053,0.75,24
2013,0.004,0.004,1.0,24
2014,0.005,0.004,1.25,24
2015,0.0045,0.005,0.9,24
2016,0.007,0.0045,1.56,24
2017,0.0076,0.007,1.09,24
2018,0.0084,0.0076,1.11,24
2019,0.0042,0.0084,0.5,24
