segment,loan_count,defaults,ead_total,ead_avg,ead_avg_defaulted,pd_count,pd_dollar,lgd,el_amount,el_rate,el_per_loan
Accommodation & Food Services,133403,16373,51016972299.83,382427.0,259663.0,0.1227,0.0833,0.6268,2664739773.52,0.0522,19975.0
Retail Trade,174624,24874,44184740541.17,253028.0,161657.0,0.1424,0.091,0.6378,2564553234.5,0.058,14686.0
Manufacturing,87762,9328,30300253207.75,345255.0,245080.0,0.1063,0.0754,0.6126,1400558517.62,0.0462,15959.0
Health Care & Social Assistance,87527,5924,29594155572.16,338115.0,239513.0,0.0677,0.0479,0.6209,881004580.26,0.0298,10066.0
Other Services (except Public Admin),104527,12883,24273710552.32,232224.0,152249.0,0.1233,0.0808,0.6441,1263287369.9,0.052,12086.0
"Professional, Scientific & Technical Services",104993,11936,20386618738.0,194171.0,106977.0,0.1137,0.0626,0.6989,892457926.69,0.0438,8500.0
Wholesale Trade,60185,8907,18560484004.66,308391.0,151672.0,0.148,0.0728,0.6654,898881827.91,0.0484,14935.0
Construction,104884,14342,17071750630.0,162768.0,120174.0,0.1367,0.101,0.6708,1156217963.33,0.0677,11024.0
"Arts, Entertainment & Recreation",26375,3307,8271858273.0,313625.0,228522.0,0.1254,0.0914,0.6281,474665955.85,0.0574,17997.0
Administrative & Waste Management Services,53337,6916,8128157580.76,152392.0,100396.0,0.1297,0.0854,0.6835,474578453.93,0.0584,8898.0
Transportation & Warehousing,46449,6271,7314109785.0,157465.0,98316.0,0.135,0.0843,0.6478,399378800.74,0.0546,8598.0
Real Estate & Rental & Leasing,23104,3464,7250414765.0,313816.0,122738.0,0.1499,0.0586,0.6227,264762734.56,0.0365,11460.0
"Agriculture, Forestry, Fishing & Hunting",12271,742,5974953088.0,486917.0,422987.0,0.0605,0.0525,0.5436,170617062.26,0.0286,13904.0
Finance & Insurance,17513,2299,4041192103.0,230754.0,93519.0,0.1313,0.0532,0.6837,147003191.47,0.0364,8394.0
Unknown / Unclassified,16922,819,3878162785.0,229179.0,323120.0,0.0484,0.0682,0.5596,148082792.76,0.0382,8751.0
Educational Services,13409,1586,3062940052.0,228424.0,129305.0,0.1183,0.067,0.6715,137702250.73,0.045,10269.0
Information,15692,2351,3029825056.0,193081.0,110032.0,0.1498,0.0854,0.6591,170496740.09,0.0563,10865.0
"Mining, Quarrying, Oil & Gas Extraction",2494,187,1016327530.0,407509.0,398959.0,0.075,0.0734,0.6044,45090070.64,0.0444,18079.0
Management of Companies & Enterprises,469,29,212727550.0,453577.0,133341.0,0.0618,0.0182,0.6708,2593893.2199999997,0.0122,5531.0
Utilities,895,91,211389371.0,236189.0,136231.0,0.1017,0.0586,0.6785,8411029.21,0.0398,9398.0
Public Administration,184,33,28267100.0,153626.0,48552.0,0.1793,0.0567,0.7346,1177042.85,0.0416,6397.0
