vintage,final_chargeoff_rate,fully_seasoned,early_mob_chargeoff,large_ticket_share,top_sector_share,reference_mob
2000,0.0468,True,0.0003,0.1561,0.4289,24
2001,0.0584,True,0.0003,0.1969,0.1905,24
2002,0.0687,True,0.0018,0.2535,0.1868,24
2003,0.094,True,0.0059,0.1918,0.1868,24
2004,0.1225,True,0.009,0.2104,0.1991,24
2005,0.1762,True,0.0115,0.2517,0.2026,24
2006,0.2426,True,0.0235,0.2668,0.1961,24
2007,0.2882,True,0.0425,0.2625,0.1993,24
2008,0.2418,True,0.0382,0.3097,0.1804,24
2009,0.1163,True,0.0157,0.3252,0.1534,24
2010,0.0723,True,0.01,0.3585,0.1617,24
2011,0.0563,True,0.0053,0.4957,0.164,24
2012,0.0529,True,0.004,0.4958,0.1653,24
2013,0.052,True,0.004,0.524,0.1895,24
2014,0.0583,True,0.005,0.5425,0.1862,24
2015,0.064,True,0.0045,0.5513,0.1807,24
